Geneid	B032-1	B032-2	B032-4	B032-6	OM5011-1	OM5011-2	OM5011-4	OM5011-6	OM5334-1	OM5334-2	OM5334-4	OM5334-6
DDX11L1	1	0	2	0	5	3	6	2	0	1	0	0
WASH7P	46	87	94	51	57	75	77	46	62	50	63	30
MIR6859-1	1	0	0	0	4	0	5	0	2	1	0	1
RP11-34P13.3	1	2	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0
OR4G4P	0	0	0	0	0	0	0	0	0	0	0	0
OR4G11P	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.7	0	0	0	1	0	0	0	0	0	0	0	0
RP11-34P13.8	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.10	0	0	4	0	1	2	0	0	0	3	0	0
RP11-34P13.15	14	18	16	8	41	28	45	35	60	28	29	11
RP11-34P13.16	3	6	2	1	3	10	16	3	14	2	5	2
RP11-34P13.14	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.13	1	1	0	0	1	4	1	1	1	5	2	0
RNU6-1100P	0	0	0	0	0	0	0	0	0	0	0	0
RP11-34P13.9	0	0	0	0	0	0	0	0	0	0	0	0
ABC7-43046700E7.1	5	1	3	1	8	5	14	8	0	5	0	0
RP11-34P13.18	71	83	85	50	99	112	120	96	99	68	98	60
MIR6859-2	0	0	0	0	0	0	1	0	0	1	2	0
AP006222.1	0	4	2	2	9	5	9	10	24	10	23	13
RPL23AP24	0	1	1	0	0	0	1	2	0	0	0	0
RP4-669L17.2	0	0	0	0	0	0	1	0	0	0	0	0
RP4-669L17.4	5	1	8	2	3	2	4	0	3	7	3	4
RP4-669L17.6	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0
CICP7	0	0	0	0	0	0	0	0	0	0	0	0
RP4-669L17.8	0	0	0	0	0	0	0	0	0	0	0	0
RF00026	4	10	5	1	9	21	15	15	77	29	47	17
RP11-206L10.17	1	0	1	1	4	1	2	0	3	0	0	0
RP5-857K21.2	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.9	101	200	133	234	248	196	203	268	180	152	148	245
RP5-857K21.8	860	1504	1216	2038	2282	1770	1604	2518	1802	1696	1383	1863
RP5-857K21.6	1570	2984	2326	3219	442	415	348	288	262	267	200	172
MIR6723	0	0	0	0	0	0	0	0	0	0	0	0
RP5-857K21.7	133	193	187	225	322	267	226	221	226	245	174	189
RP5-857K21.14	14	38	30	22	33	23	29	33	63	34	49	26
RP5-857K21.10	4265	8179	6401	10294	12672	10574	8719	11341	9366	8297	7166	10684
RP5-857K21.11	146	267	160	378	334	258	193	320	280	209	223	218
RP5-857K21.12	0	0	1	0	0	0	0	0	0	0	0	0
OR4F16	0	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.15	0	3	0	0	0	0	1	0	4	0	1	1
RP11-206L10.2	20	22	17	10	18	19	26	21	41	26	42	28
RNU6-1199P	1	0	0	1	0	0	2	0	2	0	0	0
RP11-206L10.4	0	1	2	1	1	0	0	0	0	0	0	0
RP11-206L10.9	35	70	72	39	44	66	40	21	63	28	49	35
RP11-206L10.18	0	0	0	0	0	0	0	0	0	0	0	0
RP11-206L10.8	87	155	108	85	195	157	129	180	242	194	194	143
FAM87B	21	20	18	8	16	15	21	11	20	14	19	3
RP11-206L10.11	323	568	501	401	520	586	762	581	895	939	698	645
NCRNA00115	66	81	74	51	43	37	44	46	77	49	43	24
FAM41C	0	1	0	0	0	0	0	0	1	0	0	0
TUBB8P11	0	1	0	1	0	2	1	0	0	1	1	0
FAM166AP3	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.16	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.1	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.2	0	0	0	0	0	0	0	0	0	0	0	0
RP11-54O7.3	0	0	0	0	0	0	0	0	0	0	0	0
SAMD11	22	18	9	8	9	14	13	2	52	59	32	27
NOC2L	1686	2101	1468	1653	1497	1476	1738	2042	1967	1854	1545	1650
KLHL17	602	868	1078	781	966	1188	1483	930	1030	791	948	655
PLEKHN1	309	322	290	336	149	230	206	128	164	131	112	69
PERM1	49	50	64	48	29	27	48	30	10	5	7	16
RP11-54O7.17	0	1	0	2	0	0	0	0	0	0	0	0
HES4	11	21	14	51	11	31	22	31	9	13	12	188
ISG15	33798	42247	38289	190121	12745	55587	47024	58069	8893	12374	11139	67615
RP11-54O7.10	0	0	0	0	0	0	1	0	1	0	0	0
RP11-54O7.11	2	4	4	1	6	15	4	2	4	2	3	2
AGRN	240	277	349	486	115	522	418	305	214	178	244	371
RP11-54O7.14	0	0	0	0	0	0	0	0	0	0	0	0
RP11-465B22.3	349	687	586	525	353	354	377	239	326	435	399	339
RP11-54O7.18	9	0	1	4	7	1	6	4	3	0	4	1
RNF223	0	0	0	0	0	0	0	0	0	0	0	0
C1orf159	494	708	607	547	603	743	775	664	659	787	847	529
RP11-465B22.5	0	0	0	1	0	0	0	0	0	0	1	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	3	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0
RP11-465B22.8	0	0	0	0	0	0	0	0	0	0	0	3
RP11-465B22.6	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	2	0	3	7	5	1	5	11	1	0	9	0
TNFRSF18	2359	2963	2601	3797	1622	1791	1777	3776	923	683	673	1414
TNFRSF4	7059	8468	7924	14151	4569	3825	5024	11045	1795	1381	1328	3921
SDF4	5673	6723	5434	5125	4848	4982	5313	5786	5047	5650	4435	3495
B3GALT6	643	854	536	772	903	1022	848	1540	1567	1484	1130	1303
C1QTNF12	26	42	41	32	29	22	48	30	18	16	20	23
RP5-902P8.12	8	12	20	10	31	21	12	27	1	3	14	6
UBE2J2	3976	4839	3657	3409	4689	4238	4198	4725	4796	5728	4262	3333
RP5-902P8.10	15	11	3	4	6	2	7	8	7	2	10	3
SCNN1D	56	169	114	113	162	105	181	99	188	245	204	67
ACAP3	1587	2026	1999	1654	1068	1188	1332	1093	1642	1274	1475	1026
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0
PUSL1	1050	1265	941	1116	1139	996	1108	1556	894	976	818	679
INTS11	3891	4919	4355	4035	3832	4065	4891	4568	5068	5116	4276	3416
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0
RP5-890O3.9	57	26	44	46	57	50	53	55	80	66	54	64
CPTP	2099	2585	1991	1841	1574	1710	1675	1832	2386	2238	1594	944
TAS1R3	89	150	156	78	47	83	25	8	95	86	61	18
DVL1	1133	1437	1462	1438	1452	1335	1490	1720	1220	1258	1301	954
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	10	13	5	8	4	22	8	11	108	98	71	19
AURKAIP1	6413	7465	5912	6254	6365	6131	5724	7938	6323	7215	5503	5461
RP5-890O3.3	6	2	7	1	0	0	0	1	0	5	0	1
CCNL2	4625	8253	9446	6003	4976	5955	8493	4621	8275	6413	8902	4555
RP4-758J18.2	697	991	688	815	689	794	697	1132	1171	1378	1012	746
MRPL20	2990	3890	3058	3544	3997	3512	3479	4704	4949	5006	4333	4349
RN7SL657P	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.13	19	40	26	36	40	59	42	45	39	51	61	62
ANKRD65	0	0	7	1	1	1	0	3	0	7	7	1
RP4-758J18.7	0	0	0	0	0	0	0	0	1	0	0	0
TMEM88B	0	0	0	0	0	0	0	0	0	0	0	0
RP4-758J18.10	0	0	0	0	2	0	0	0	0	0	0	6
